kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
main.1.sm_70.ptx 26685 : 8192 44832 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26681 : 8192 22528 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26665 : 8192 46272 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26664 : 8192 51200 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26663 : 8192 51648 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26662 : 8192 51936 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26661 : 8192 50784 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26660 : 8192 220608 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26659 : 8192 219072 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26658 : 8192 218496 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26657 : 8192 216960 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26656 : 8192 52832 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26655 : 8192 220000 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26654 : 8192 217792 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26653 : 8192 216864 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26652 : 8192 215712 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26651 : 8192 51392 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26650 : 8192 217504 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26649 : 8192 216224 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26648 : 8192 215968 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26647 : 8192 215840 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26646 : 8192 50656 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26645 : 8192 220640 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26644 : 8192 217120 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26643 : 8192 215552 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26642 : 8192 216320 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26640 : 8192 51584 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26638 : 8192 217600 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26637 : 8192 216608 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26635 : 8192 52512 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26633 : 8192 28544 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26618 : 8192 44640 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26617 : 8192 51264 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26616 : 8192 51904 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26615 : 8192 51680 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26614 : 8192 51904 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26613 : 8192 225856 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26612 : 8192 224640 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26611 : 8192 223520 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26610 : 8192 222720 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26609 : 8192 51104 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26608 : 8192 226944 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26607 : 8192 223808 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26606 : 8192 222496 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26605 : 8192 222272 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26604 : 8192 50688 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26603 : 8192 225120 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26602 : 8192 224000 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26601 : 8192 222528 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26600 : 8192 222304 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26599 : 8192 54400 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26598 : 8192 226624 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26597 : 8192 224416 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26596 : 8192 223008 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26595 : 8192 222432 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26593 : 8192 53536 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26591 : 8192 224704 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26590 : 8192 218240 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26588 : 8192 52096 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26586 : 8192 25632 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26571 : 8192 47584 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26570 : 8192 54112 0 0 0 0 0 0 0 
