kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
main.1.sm_70.ptx 26694 : 8192 41184 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26690 : 8192 694816 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26687 : 8192 691264 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26685 : 8192 44928 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26684 : 8192 45984 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26682 : 8192 137376 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26666 : 8192 43264 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26665 : 8192 53216 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26664 : 8192 51776 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26663 : 8192 53184 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26662 : 8192 171712 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26661 : 8192 221536 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26660 : 8192 219040 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26659 : 8192 217920 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26658 : 8192 219072 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26657 : 8192 183232 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26656 : 8192 222656 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26655 : 8192 219008 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26654 : 8192 216960 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26653 : 8192 216064 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26652 : 8192 194048 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26651 : 8192 222784 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26650 : 8192 219552 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26649 : 8192 218976 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26648 : 8192 216896 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26647 : 8192 190944 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26646 : 8192 228448 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26645 : 8192 225408 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26644 : 8192 222592 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26643 : 8192 217408 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26641 : 8192 54784 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26639 : 8192 221632 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26638 : 8192 218016 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26636 : 8192 53504 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26634 : 8192 157120 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26619 : 8192 45280 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26618 : 8192 52256 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26617 : 8192 54336 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26616 : 8192 55616 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26615 : 8192 197248 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26614 : 8192 226592 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26613 : 8192 225376 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26612 : 8192 222624 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26611 : 8192 225024 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26610 : 8192 229696 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26609 : 8192 228128 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26608 : 8192 225952 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26607 : 8192 223968 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26606 : 8192 224288 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26605 : 8192 181568 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26604 : 8192 226144 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26603 : 8192 224128 0 0 0 0 0 0 0 
