kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
main.1.sm_70.ptx 26725 : 2048 11296 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26699 : 2048 11040 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26698 : 2048 13056 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26697 : 2048 13056 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26696 : 2048 13120 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26695 : 2048 12832 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26694 : 2048 54752 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26693 : 2048 54496 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26692 : 2048 54624 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26691 : 2048 54144 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26690 : 2048 13280 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26689 : 2048 55008 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26688 : 2048 54656 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26687 : 2048 54400 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26686 : 2048 54048 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26685 : 2048 12960 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26684 : 2048 55008 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26683 : 2048 54240 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26682 : 2048 53856 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26681 : 2048 53824 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26680 : 2048 13152 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26679 : 2048 56576 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26678 : 2048 54624 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26677 : 2048 54112 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26676 : 2048 54144 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26674 : 2048 12992 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26672 : 2048 55072 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26671 : 2048 54560 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26669 : 2048 13152 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26667 : 2048 6784 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26641 : 2048 11424 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26640 : 2048 13344 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26639 : 2048 13152 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26638 : 2048 13312 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26637 : 2048 12800 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26636 : 2048 56704 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26635 : 2048 56096 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26634 : 2048 56064 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26633 : 2048 55808 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26632 : 2048 13056 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26631 : 2048 57024 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26630 : 2048 56512 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26629 : 2048 56000 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26628 : 2048 55616 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26627 : 2048 12928 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26626 : 2048 57024 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26625 : 2048 56448 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26624 : 2048 56160 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26623 : 2048 55904 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26622 : 2048 12992 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26621 : 2048 56768 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26620 : 2048 56320 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26619 : 2048 56192 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26618 : 2048 56000 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26616 : 2048 13728 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26614 : 2048 56288 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26613 : 2048 54688 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26611 : 2048 13280 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26609 : 2048 6656 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26583 : 2048 11968 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26582 : 2048 13248 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26581 : 2048 13248 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26580 : 2048 13120 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26579 : 2048 13472 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26578 : 2048 55552 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26577 : 2048 55072 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26576 : 2048 54464 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26575 : 2048 54208 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26574 : 2048 13856 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26573 : 2048 56736 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26572 : 2048 55360 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26571 : 2048 55104 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26570 : 2048 54368 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26569 : 2048 13856 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26568 : 2048 56480 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26567 : 2048 55584 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26566 : 2048 55104 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26565 : 2048 54144 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26564 : 2048 13344 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26563 : 2048 55936 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26562 : 2048 55648 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26561 : 2048 55264 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26560 : 2048 54592 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26558 : 2048 13504 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26556 : 2048 55008 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26555 : 2048 54336 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26553 : 2048 13536 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26551 : 2048 7040 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26525 : 2048 11008 0 0 0 0 0 0 0 
