kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
main.1.sm_70.ptx 26649 : 2048 12064 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26636 : 2048 11936 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26635 : 2048 14816 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26634 : 2048 17600 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26633 : 2048 24064 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26632 : 2048 64448 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26631 : 2048 65728 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26630 : 2048 63904 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26629 : 2048 64032 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26628 : 2048 64320 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26627 : 2048 63104 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26626 : 2048 62112 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26625 : 2048 62496 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26624 : 2048 61696 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26623 : 2048 61184 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26622 : 2048 60544 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26621 : 2048 59872 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26620 : 2048 58944 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26619 : 2048 58080 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26618 : 2048 56992 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26617 : 2048 56544 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26615 : 2048 14912 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26613 : 2048 54304 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26612 : 2048 53824 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26610 : 2048 13344 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26608 : 2048 4128 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26595 : 2048 11872 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26594 : 2048 14496 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26593 : 2048 16704 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26592 : 2048 26400 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26591 : 2048 67072 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26590 : 2048 67328 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26589 : 2048 66272 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26588 : 2048 66016 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26587 : 2048 66336 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26586 : 2048 65632 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26585 : 2048 65184 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26584 : 2048 64544 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26583 : 2048 64000 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26582 : 2048 62176 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26581 : 2048 61728 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26580 : 2048 60992 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26579 : 2048 60384 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26578 : 2048 59424 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26577 : 2048 58528 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26576 : 2048 58144 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26574 : 2048 15968 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26572 : 2048 54080 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26571 : 2048 53664 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26569 : 2048 13248 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26567 : 2048 4128 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26554 : 2048 12064 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26553 : 2048 14752 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26552 : 2048 16224 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26551 : 2048 24928 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26550 : 2048 65408 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26549 : 2048 64256 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26548 : 2048 63008 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26547 : 2048 62336 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26546 : 2048 62912 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26545 : 2048 61568 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26544 : 2048 61536 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26543 : 2048 61312 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26542 : 2048 61344 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26541 : 2048 60448 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26540 : 2048 59872 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26539 : 2048 58624 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26538 : 2048 59552 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26537 : 2048 57888 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26536 : 2048 57024 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26535 : 2048 56352 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26533 : 2048 15040 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26531 : 2048 53952 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26530 : 2048 53824 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26528 : 2048 12640 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26526 : 2048 4096 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26513 : 2048 10784 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26512 : 2048 12768 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26511 : 2048 13408 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26510 : 2048 13792 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26509 : 2048 54688 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26508 : 2048 14208 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26507 : 2048 54880 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26506 : 2048 14848 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26505 : 2048 55264 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26504 : 2048 14112 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26503 : 2048 56096 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26502 : 2048 13600 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26501 : 2048 54368 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26500 : 2048 13280 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26499 : 2048 54144 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26498 : 2048 13504 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26497 : 2048 54336 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26496 : 2048 14144 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26495 : 2048 56480 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26494 : 2048 13728 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26493 : 2048 54816 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26492 : 2048 15136 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26491 : 2048 55584 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26490 : 2048 16256 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26489 : 2048 56480 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26488 : 2048 15520 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26487 : 2048 57600 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26486 : 2048 14688 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26485 : 2048 55232 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26484 : 2048 14560 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26483 : 2048 54848 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26482 : 2048 13248 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26481 : 2048 54016 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26480 : 2048 14048 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26479 : 2048 54784 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26477 : 2048 13504 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26475 : 2048 57952 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26474 : 2048 58112 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26473 : 2048 13344 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26471 : 2048 14464 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26469 : 2048 13984 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26468 : 2048 4096 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26466 : 49152 247232 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26465 : 49152 301152 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26464 : 49152 449824 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26463 : 49152 446720 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26462 : 49152 299072 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26461 : 49152 147648 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26460 : 49152 298944 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26459 : 49152 299648 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26458 : 49152 298528 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26457 : 49152 298848 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26456 : 49152 300640 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26455 : 49152 299200 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26454 : 49152 298912 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26453 : 49152 299392 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26452 : 49152 299104 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26451 : 49152 298848 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26450 : 49152 297984 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26449 : 49152 299712 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26448 : 49152 298656 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26447 : 49152 298208 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26446 : 49152 298304 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26445 : 49152 298496 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26444 : 49152 297600 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26443 : 49152 298656 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26442 : 49152 298880 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26441 : 49152 298304 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26440 : 49152 299136 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26439 : 49152 298720 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26438 : 49152 299968 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26437 : 49152 298912 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26436 : 49152 299200 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26435 : 49152 298656 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26434 : 49152 299168 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26433 : 49152 299744 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26432 : 49152 298944 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26431 : 49152 298208 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26430 : 49152 298624 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26429 : 49152 298944 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26428 : 49152 299168 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26427 : 49152 298944 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26426 : 49152 300928 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26425 : 49152 300832 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26424 : 49152 300544 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26423 : 49152 300544 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26422 : 49152 299776 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26421 : 49152 300864 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26420 : 49152 297888 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26419 : 49152 299296 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26418 : 49152 299168 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26417 : 49152 298560 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26416 : 49152 298752 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26415 : 49152 298944 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26414 : 49152 300288 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26413 : 49152 300000 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26412 : 49152 299840 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26411 : 49152 297888 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26410 : 49152 298848 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26409 : 49152 299552 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26408 : 49152 299232 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26407 : 49152 299840 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26406 : 49152 298848 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26405 : 49152 298144 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26404 : 49152 298144 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26403 : 49152 298336 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26402 : 49152 298624 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26401 : 49152 298880 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26400 : 49152 298720 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26399 : 49152 299744 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26398 : 49152 300256 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26397 : 49152 301376 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26396 : 49152 299904 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26395 : 49152 299328 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26394 : 49152 299488 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26393 : 49152 302592 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26392 : 49152 298560 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26391 : 49152 298208 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26390 : 49152 299136 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26389 : 49152 297920 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26388 : 49152 297408 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26387 : 49152 298848 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26386 : 49152 301696 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26382 : 49152 445568 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26381 : 49152 302592 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26380 : 49152 448832 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26379 : 49152 304192 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26371 : 49152 446016 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26370 : 49152 302880 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26369 : 49152 450464 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26368 : 49152 305280 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26360 : 49152 446880 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26359 : 49152 303712 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26358 : 49152 449376 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26357 : 49152 303136 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26349 : 49152 446656 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26348 : 49152 303872 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26347 : 49152 448128 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26346 : 49152 302528 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26338 : 49152 446112 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26337 : 49152 303072 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26336 : 49152 448864 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26335 : 49152 302368 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26327 : 49152 445920 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26326 : 49152 302720 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26325 : 49152 450240 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26324 : 49152 305152 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26316 : 49152 446208 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26315 : 49152 302368 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26314 : 49152 450080 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26313 : 49152 304576 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26305 : 49152 446240 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26304 : 49152 302048 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26303 : 49152 448032 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26302 : 49152 302432 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26294 : 49152 446208 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26293 : 49152 302080 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26292 : 49152 447712 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26291 : 49152 302976 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26283 : 49152 445824 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26282 : 49152 301024 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26281 : 49152 448384 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26280 : 49152 303680 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26272 : 49152 444768 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26271 : 49152 300096 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26270 : 49152 446688 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26269 : 49152 300928 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26261 : 49152 444768 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26260 : 49152 299616 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26259 : 49152 447520 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26258 : 49152 301408 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26250 : 49152 445536 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26249 : 49152 300416 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26248 : 49152 448480 0 0 0 0 0 0 0 
