kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
main.1.sm_70.ptx 26750 : 28 84 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26747 : 28 84 0 0 0 28 28 0 0 
main.1.sm_70.ptx 26744 : 28 84 0 0 0 28 28 0 0 
main.1.sm_70.ptx 26742 : 28 252 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26741 : 28 168 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26740 : 28 140 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26739 : 28 252 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26738 : 28 280 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26737 : 28 140 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26736 : 28 280 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26735 : 28 140 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26734 : 28 140 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26733 : 28 140 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26732 : 28 140 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26754 : 7168 35840 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26729 : 28 140 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26728 : 7168 35700 0 0 0 0 0 0 28 
main.1.sm_70.ptx 26727 : 7168 39008 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26725 : 7168 18336 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26723 : 7168 44384 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26722 : 7168 74048 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26721 : 7168 41824 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26720 : 7168 41472 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26719 : 7168 66656 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26718 : 7168 66528 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26717 : 7168 40224 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26716 : 7168 40544 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26715 : 7168 45056 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26714 : 7168 39552 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26699 : 7168 38784 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26698 : 7168 45888 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26697 : 7168 44480 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26696 : 7168 44704 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26695 : 7168 45440 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26694 : 7168 193024 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26693 : 7168 191168 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26692 : 7168 190016 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26691 : 7168 189248 0 0 0 0 0 0 0 
