kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
main.1.sm_70.ptx 26773 : 24 1584 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26770 : 24 1584 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26767 : 24 72 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26764 : 24 72 0 0 0 24 24 0 0 
main.1.sm_70.ptx 26761 : 24 72 0 0 0 24 24 0 0 
main.1.sm_70.ptx 26759 : 24 216 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26758 : 24 144 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26757 : 24 120 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26756 : 24 216 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26755 : 24 240 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26754 : 24 120 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26753 : 24 240 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26752 : 24 120 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26751 : 24 120 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26750 : 24 120 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26749 : 24 120 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26746 : 24 120 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26777 : 6144 30720 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26745 : 6144 30600 0 0 0 0 0 0 24 
main.1.sm_70.ptx 26744 : 6144 30784 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26742 : 6144 484128 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26739 : 6144 485504 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26737 : 6144 33344 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26736 : 6144 33024 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26734 : 6144 60448 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26732 : 6144 40288 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26731 : 6144 62336 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26730 : 6144 35200 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26729 : 6144 34272 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26728 : 6144 56352 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26727 : 6144 56352 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26726 : 6144 33920 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26725 : 6144 34272 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26724 : 6144 38080 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26723 : 6144 33440 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26708 : 6144 33568 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26707 : 6144 37984 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26706 : 6144 37952 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26705 : 6144 38784 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26704 : 6144 107008 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26703 : 6144 163776 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26702 : 6144 162560 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26701 : 6144 161792 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26700 : 6144 162560 0 0 0 0 0 0 0 
