kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
main.1.sm_70.ptx 26861 : 28 1848 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26858 : 28 1848 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26855 : 28 84 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26852 : 28 84 0 0 0 28 28 0 0 
main.1.sm_70.ptx 26849 : 28 84 0 0 0 28 28 0 0 
main.1.sm_70.ptx 26847 : 28 252 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26846 : 28 168 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26845 : 28 140 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26844 : 28 252 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26843 : 28 280 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26842 : 28 140 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26841 : 28 280 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26840 : 28 140 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26839 : 28 140 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26838 : 28 140 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26837 : 28 140 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26834 : 28 140 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26865 : 7168 35840 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26833 : 7168 35700 0 0 0 0 0 0 28 
main.1.sm_70.ptx 26832 : 7168 35840 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26830 : 7168 1594336 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26827 : 7168 1594336 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26825 : 7168 35840 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26824 : 7168 35840 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26822 : 7168 30016 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26820 : 7168 43008 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26806 : 7168 35840 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26805 : 7168 43840 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26804 : 7168 43008 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26803 : 7168 45152 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26802 : 7168 57120 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26801 : 7168 195904 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26800 : 7168 196320 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26799 : 7168 193056 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26798 : 7168 191616 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26797 : 7168 53696 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26796 : 7168 193696 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26795 : 7168 193696 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26794 : 7168 190368 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26793 : 7168 190176 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26792 : 7168 49280 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26791 : 7168 195392 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26790 : 7168 193120 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26789 : 7168 191680 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26788 : 7168 190176 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26787 : 7168 47552 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26786 : 7168 199360 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26785 : 7168 196448 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26784 : 7168 195648 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26783 : 7168 191456 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26781 : 7168 47872 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26779 : 7168 188256 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26778 : 7168 187648 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26776 : 7168 44096 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26761 : 7168 38336 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26760 : 7168 44736 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26759 : 7168 43552 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26758 : 7168 45696 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26757 : 7168 50944 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26756 : 7168 200288 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26755 : 7168 201408 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26754 : 7168 200960 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26753 : 7168 198976 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26752 : 7168 52832 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26751 : 7168 199808 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26750 : 7168 199520 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26749 : 7168 200480 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26748 : 7168 195712 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26747 : 7168 52448 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26746 : 7168 200704 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26745 : 7168 199584 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26744 : 7168 200160 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26743 : 7168 197824 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26742 : 7168 47104 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26741 : 7168 205248 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26740 : 7168 200896 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26739 : 7168 198080 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26738 : 7168 194880 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26736 : 7168 51360 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26734 : 7168 189184 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26733 : 7168 186880 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26731 : 7168 43072 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26716 : 7168 36768 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26715 : 7168 43680 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26714 : 7168 43488 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26713 : 7168 45696 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26712 : 7168 156576 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26711 : 7168 195936 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26710 : 7168 195392 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26709 : 7168 195904 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26708 : 7168 194784 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26707 : 7168 196640 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26706 : 7168 193696 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26705 : 7168 196736 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26704 : 7168 194464 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26703 : 7168 194784 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26702 : 7168 243296 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26701 : 7168 193280 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26700 : 7168 192192 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26699 : 7168 191424 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26698 : 7168 191008 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26697 : 7168 289472 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26625 : 28 1848 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26622 : 28 1848 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26696 : 7168 193376 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26695 : 7168 190592 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26694 : 7168 191360 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26693 : 7168 190880 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26620 : 28 145 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26691 : 7168 46848 0 0 0 0 0 0 0 
