kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
main.1.sm_70.ptx 26702 : 36 108 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26699 : 36 108 0 0 0 36 36 0 0 
main.1.sm_70.ptx 26697 : 36 324 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26696 : 36 216 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26695 : 36 180 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26694 : 36 324 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26693 : 36 360 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26692 : 36 180 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26691 : 36 360 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26690 : 36 180 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26689 : 36 180 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26688 : 36 180 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26687 : 36 180 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26684 : 36 180 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26706 : 9216 46080 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26683 : 9216 45900 0 0 0 0 0 0 36 
main.1.sm_70.ptx 26682 : 9216 55840 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26680 : 9216 18688 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26678 : 9216 60768 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26677 : 9216 96768 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26676 : 9216 53888 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26675 : 9216 52704 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26674 : 9216 84864 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26673 : 9216 84960 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26672 : 9216 50624 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26671 : 9216 51456 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26670 : 9216 57984 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26669 : 9216 52512 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26659 : 9216 52960 0 0 0 0 0 0 0 
main.1.sm_70.ptx 26658 : 9216 65344 0 0 0 0 0 0 0 
