kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
main.1.sm_70.ptx 1647 : 3072 273760 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1644 : 3072 1318528 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1643 : 3072 1295648 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1642 : 3072 1251520 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1641 : 3072 1195712 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1640 : 3072 1102464 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1639 : 3072 1017984 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1638 : 3072 944512 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1637 : 3072 848352 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1636 : 3072 718144 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1635 : 3072 296928 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1634 : 3072 29184 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1633 : 3072 165280 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1632 : 3072 511488 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1631 : 3072 116640 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1630 : 3072 15456 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1629 : 3072 15360 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1627 : 3072 0 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1626 : 3072 105536 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1625 : 3072 1083904 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1624 : 3072 209088 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1623 : 3072 106464 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1621 : 3072 0 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1620 : 3072 21792 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1619 : 3072 98016 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1617 : 49152 244512 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1616 : 49152 300288 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1615 : 49152 468672 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1612 : 3072 29160 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1611 : 3072 29052 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1610 : 3072 28968 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1609 : 3072 28782 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1608 : 3072 28692 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1607 : 3072 28332 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1606 : 3072 28116 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1605 : 3072 27828 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1603 : 49152 239940 0 0 0 0 0 0 1536 
main.1.sm_70.ptx 1602 : 49152 301728 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1601 : 49152 300864 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1600 : 49152 1283424 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1599 : 49152 263712 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1598 : 49152 298464 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1597 : 49152 1281984 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1596 : 49152 261312 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1595 : 49152 302688 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1594 : 49152 1285728 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1593 : 49152 257568 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1592 : 49152 296832 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1591 : 49152 1280352 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1590 : 49152 258144 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1589 : 49152 300000 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1588 : 49152 1282752 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1587 : 49152 252960 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1586 : 49152 295872 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1585 : 49152 1278528 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1584 : 49152 253920 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1583 : 49152 299520 0 0 0 0 0 0 0 
