kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
main.1.sm_70.ptx 1697 : 3072 50656 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1693 : 3072 775712 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1690 : 3072 768032 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1688 : 3072 80704 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1686 : 3072 1197088 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1683 : 3072 1261312 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1681 : 3072 444128 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1680 : 3072 1342016 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1678 : 3072 1278048 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1676 : 3072 515584 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1675 : 3072 1375456 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1673 : 3072 1299776 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1671 : 3072 491392 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1670 : 3072 1349088 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1668 : 3072 1294272 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1666 : 3072 424480 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1665 : 3072 1337600 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1663 : 3072 1286496 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1661 : 3072 410560 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1660 : 3072 1298016 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1658 : 3072 1261760 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1656 : 3072 361888 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1655 : 3072 1284288 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1653 : 3072 1237952 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1651 : 3072 327392 0 0 0 0 0 0 0 
