kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
main.1.sm_70.ptx 1712 : 3072 15360 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1708 : 3072 415648 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1705 : 3072 420736 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1703 : 3072 27648 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1702 : 3072 340704 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1700 : 3072 499520 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1697 : 3072 508896 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1695 : 3072 27904 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1694 : 3072 419840 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1692 : 3072 554912 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1689 : 3072 554976 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1687 : 3072 29696 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1686 : 3072 477920 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1684 : 3072 591232 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1681 : 3072 596544 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1679 : 3072 27648 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1678 : 3072 498688 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1676 : 3072 549120 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1673 : 3072 562816 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1671 : 3072 28672 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1670 : 3072 473184 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1668 : 3072 537536 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1665 : 3072 552160 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1663 : 3072 29856 0 0 0 0 0 0 0 
