kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
main.1.sm_70.ptx 1755 : 12 36 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1752 : 12 36 0 0 0 12 12 0 0 
main.1.sm_70.ptx 1749 : 12 36 0 0 0 12 12 0 0 
main.1.sm_70.ptx 1747 : 12 108 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1746 : 12 72 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1745 : 12 60 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1744 : 12 108 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1743 : 12 120 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1742 : 12 60 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1741 : 12 120 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1740 : 12 60 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1739 : 12 60 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1738 : 12 60 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1737 : 12 60 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1759 : 3072 15360 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1734 : 12 60 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1733 : 3072 15300 0 0 0 0 0 0 12 
main.1.sm_70.ptx 1732 : 3072 81248 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1730 : 3072 1196544 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1727 : 3072 1221600 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1725 : 3072 279296 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1724 : 3072 1287424 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1722 : 3072 1236640 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1720 : 3072 296064 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1719 : 3072 1293120 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1717 : 3072 1223840 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1715 : 3072 300544 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1714 : 3072 1270752 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1712 : 3072 1206176 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1710 : 3072 293376 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1709 : 3072 1238464 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1707 : 3072 1161248 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1705 : 3072 282016 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1704 : 3072 1189504 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1702 : 3072 1117696 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1700 : 3072 259072 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1699 : 3072 1136544 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1697 : 3072 1054976 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1695 : 3072 211232 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1694 : 3072 1036928 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1692 : 3072 959936 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1690 : 3072 206304 0 0 0 0 0 0 0 
