kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
main.1.sm_70.ptx 1760 : 12 36 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1757 : 12 36 0 0 0 12 12 0 0 
main.1.sm_70.ptx 1754 : 12 36 0 0 0 12 12 0 0 
main.1.sm_70.ptx 1752 : 12 108 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1751 : 12 72 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1750 : 12 60 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1749 : 12 108 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1748 : 12 120 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1747 : 12 60 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1746 : 12 120 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1745 : 12 60 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1744 : 12 60 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1743 : 12 60 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1742 : 12 60 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1739 : 12 60 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1764 : 3072 15360 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1738 : 3072 15300 0 0 0 0 0 0 12 
main.1.sm_70.ptx 1737 : 3072 16416 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1735 : 3072 1217760 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1732 : 3072 1324128 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1730 : 3072 720288 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1729 : 3072 1552192 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1727 : 3072 1479840 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1725 : 3072 700992 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1724 : 3072 1536064 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1722 : 3072 1468192 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1720 : 3072 564544 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1719 : 3072 1494272 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1717 : 3072 1456992 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1715 : 3072 487712 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1714 : 3072 1456256 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1712 : 3072 1424800 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1710 : 3072 529632 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1709 : 3072 1444064 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1707 : 3072 1422368 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1705 : 3072 574272 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1704 : 3072 1496128 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1702 : 3072 1477408 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1700 : 3072 514336 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1699 : 3072 1409280 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1678 : 12 4792 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1697 : 3072 1343168 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1675 : 12 5548 0 0 0 12 12 0 0 
main.1.sm_70.ptx 1672 : 12 5646 0 0 0 12 12 0 0 
main.1.sm_70.ptx 1670 : 12 111 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1695 : 3072 543424 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1694 : 3072 1332384 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1692 : 3072 1220992 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1669 : 12 72 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1668 : 12 62 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1690 : 3072 27712 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1667 : 12 108 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1689 : 3072 195840 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1666 : 12 120 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1688 : 3072 195840 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1687 : 3072 525504 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1665 : 12 70 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1664 : 12 120 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1663 : 12 61 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1662 : 12 60 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1686 : 3072 19232 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1661 : 12 60 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1685 : 3072 202304 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1684 : 3072 210496 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1660 : 12 60 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1683 : 3072 15776 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1682 : 3072 42112 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1658 : 3072 15460 0 0 0 0 0 0 12 
