kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
main.1.sm_70.ptx 1776 : 12 792 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1773 : 12 36 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1770 : 12 36 0 0 0 12 12 0 0 
main.1.sm_70.ptx 1767 : 12 36 0 0 0 12 12 0 0 
main.1.sm_70.ptx 1765 : 12 108 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1764 : 12 72 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1763 : 12 60 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1762 : 12 108 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1761 : 12 120 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1760 : 12 60 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1759 : 12 120 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1758 : 12 60 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1757 : 12 60 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1756 : 12 60 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1755 : 12 60 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1754 : 12 60 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1751 : 12 60 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1750 : 3072 15300 0 0 0 0 0 0 12 
main.1.sm_70.ptx 1749 : 3072 53856 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1747 : 3072 813152 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1744 : 3072 797632 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1742 : 3072 89856 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1740 : 3072 1174656 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1737 : 3072 1206752 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1735 : 3072 343648 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1734 : 3072 1322880 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1732 : 3072 1259264 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1730 : 3072 338208 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1729 : 3072 1314080 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1727 : 3072 1266656 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1725 : 3072 368480 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1724 : 3072 1316800 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1722 : 3072 1267648 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1720 : 3072 331200 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1719 : 3072 1292416 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1717 : 3072 1250464 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1715 : 3072 332992 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1714 : 3072 1240928 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1712 : 3072 1178464 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1710 : 3072 294240 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1709 : 3072 1182368 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1707 : 3072 1132896 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1705 : 3072 310656 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1704 : 3072 1104064 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1702 : 3072 1032704 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1700 : 3072 260128 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1699 : 3072 980960 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1697 : 3072 896320 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1695 : 3072 140576 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1694 : 3072 103008 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1693 : 3072 789632 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1692 : 3072 79712 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1691 : 3072 33024 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1690 : 3072 49792 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1689 : 3072 56544 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1688 : 3072 28640 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1687 : 3072 82144 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1686 : 3072 66400 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1685 : 3072 23488 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1684 : 3072 39680 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1683 : 3072 61024 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1682 : 3072 506528 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1681 : 3072 46176 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1680 : 3072 28544 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1679 : 3072 44032 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1678 : 3072 723552 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1677 : 3072 175744 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1676 : 3072 53056 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1675 : 3072 45696 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1673 : 3072 0 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1672 : 3072 87744 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1671 : 3072 1392768 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1670 : 3072 50432 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1669 : 3072 255008 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1667 : 3072 0 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1666 : 3072 29600 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1665 : 3072 270816 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1663 : 49152 242304 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1662 : 49152 309920 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1661 : 49152 465984 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1658 : 3072 28980 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1657 : 3072 29394 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1656 : 3072 28732 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1655 : 3072 28742 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1654 : 3072 29574 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1653 : 3072 28400 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1652 : 3072 28940 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1651 : 3072 27928 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1649 : 49152 250410 0 0 0 0 0 0 1536 
main.1.sm_70.ptx 1648 : 49152 303264 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1647 : 49152 306816 0 0 0 0 0 0 0 
