kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
main.1.sm_70.ptx 1744 : 12 36 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1741 : 12 36 0 0 0 12 12 0 0 
main.1.sm_70.ptx 1739 : 12 108 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1738 : 12 72 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1737 : 12 60 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1736 : 12 108 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1735 : 12 120 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1734 : 12 60 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1733 : 12 120 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1732 : 12 60 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1731 : 12 60 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1730 : 12 60 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1748 : 3072 15360 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1729 : 12 60 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1726 : 12 60 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1725 : 3072 15300 0 0 0 0 0 0 12 
main.1.sm_70.ptx 1724 : 3072 15360 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1722 : 3072 1134976 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1719 : 3072 1242368 98304 0 0 3072 96 0 0 
main.1.sm_70.ptx 1717 : 3072 350240 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1715 : 3072 1387456 98304 0 0 3072 96 0 0 
main.1.sm_70.ptx 1713 : 3072 276288 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1711 : 3072 1356384 98304 0 0 3072 96 0 0 
main.1.sm_70.ptx 1709 : 3072 359296 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1707 : 3072 1420064 98304 0 0 3072 96 0 0 
main.1.sm_70.ptx 1705 : 3072 344992 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1703 : 3072 1367712 98304 0 0 3072 96 0 0 
main.1.sm_70.ptx 1701 : 3072 310720 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1699 : 3072 1270848 98304 0 0 3072 96 0 0 
main.1.sm_70.ptx 1674 : 12 5346 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1671 : 12 5183 0 0 0 12 12 0 0 
main.1.sm_70.ptx 1697 : 3072 295680 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1695 : 3072 1244480 98304 0 0 3072 96 0 0 
main.1.sm_70.ptx 1669 : 12 108 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1693 : 3072 278720 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1691 : 3072 998272 98304 0 0 3072 96 0 0 
main.1.sm_70.ptx 1668 : 12 72 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1667 : 12 60 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1689 : 3072 109920 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1687 : 3072 478464 98304 0 0 3072 96 0 0 
main.1.sm_70.ptx 1666 : 12 108 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1685 : 3072 131328 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1665 : 12 120 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1684 : 3072 36928 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1664 : 12 87 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1663 : 12 136 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1662 : 12 61 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1661 : 12 60 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1683 : 3072 107904 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1660 : 12 60 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1682 : 3072 21504 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1659 : 12 60 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1681 : 3072 155872 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1680 : 3072 107360 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1679 : 3072 15424 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1678 : 3072 23264 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1657 : 3072 15748 0 0 0 0 0 0 12 
main.1.sm_70.ptx 1656 : 3072 18432 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1655 : 3072 27648 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1654 : 3072 19360 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1653 : 3072 28736 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1652 : 3072 23392 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1651 : 3072 24736 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1650 : 3072 37024 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1649 : 3072 15360 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1648 : 3072 15360 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1647 : 3072 15360 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1645 : 3072 49184 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1642 : 3072 48096 2176 0 0 918 96 0 0 
main.1.sm_70.ptx 1640 : 3072 959136 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1639 : 3072 27648 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1638 : 3072 27648 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1637 : 3072 27648 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1636 : 3072 18432 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1635 : 3072 15360 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1634 : 3072 27648 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1633 : 3072 18432 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1632 : 3072 18528 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1631 : 3072 32480 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1629 : 3072 0 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1628 : 3072 18432 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1627 : 3072 1049536 0 0 0 3072 96 0 0 
main.1.sm_70.ptx 1626 : 3072 18432 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1625 : 3072 33888 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1623 : 3072 0 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1622 : 3072 18432 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1621 : 3072 34656 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1619 : 49152 243168 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1618 : 49152 299232 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1617 : 49152 464640 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1614 : 3072 28890 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1613 : 3072 28788 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1612 : 3072 28734 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1611 : 3072 28596 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1610 : 3072 28404 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1609 : 3072 28152 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1608 : 3072 27972 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1607 : 3072 27792 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1605 : 49152 238320 0 0 0 0 0 0 1536 
main.1.sm_70.ptx 1604 : 49152 298560 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1603 : 49152 300672 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1602 : 49152 1280928 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1601 : 49152 263424 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1600 : 49152 298944 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1599 : 49152 1284000 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1598 : 49152 264096 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1597 : 49152 306528 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1596 : 49152 1279104 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1595 : 49152 257760 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1594 : 49152 296544 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1593 : 49152 1284576 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1592 : 49152 255264 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1591 : 49152 300384 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1590 : 49152 1279008 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1589 : 49152 254400 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1588 : 49152 295488 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1587 : 49152 1282080 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1586 : 49152 255456 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1585 : 49152 298176 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1584 : 49152 1278624 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1583 : 49152 253440 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1582 : 49152 296064 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1581 : 49152 1282560 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1580 : 49152 256320 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1579 : 49152 443136 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1578 : 49152 295776 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1577 : 49152 1280448 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1576 : 49152 254016 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1575 : 49152 443136 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1574 : 49152 295392 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1573 : 49152 1282656 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1572 : 49152 253728 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1571 : 49152 442656 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1570 : 49152 295968 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1569 : 49152 1283040 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1568 : 49152 253344 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1567 : 49152 442944 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1566 : 49152 295872 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1565 : 49152 1283424 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1564 : 49152 253824 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1563 : 49152 442848 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1562 : 49152 295776 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1561 : 49152 1283424 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1560 : 49152 253056 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1559 : 49152 442656 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1558 : 49152 295296 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1557 : 49152 1280832 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1556 : 49152 253536 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1555 : 49152 443040 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1554 : 49152 295968 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1553 : 49152 1282848 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1552 : 49152 256416 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1551 : 49152 443520 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1550 : 49152 295488 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1549 : 49152 1282272 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1548 : 49152 254592 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1547 : 49152 442464 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1546 : 49152 295392 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1545 : 49152 443136 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1544 : 49152 295488 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1543 : 49152 443040 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1542 : 49152 295200 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1541 : 49152 443232 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1540 : 49152 295200 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1539 : 49152 443040 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1538 : 49152 295776 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1537 : 49152 442752 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1536 : 49152 295488 0 0 0 0 0 0 0 
main.1.sm_70.ptx 1535 : 49152 442560 0 0 0 0 0 0 0 
