kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
run.1.sm_70.ptx 583 : 8192 40960 0 0 0 0 0 0 0 
run.1.sm_70.ptx 574 : 18 123 0 0 0 18 18 0 0 
run.1.sm_70.ptx 573 : 18 90 0 0 0 0 0 0 0 
run.1.sm_70.ptx 571 : 18 0 0 0 0 0 0 0 0 
run.1.sm_70.ptx 570 : 18 108 0 0 0 0 0 0 0 
run.1.sm_70.ptx 569 : 18 7348 576 0 0 18 18 0 0 
run.1.sm_70.ptx 568 : 18 460 0 0 0 18 18 0 0 
run.1.sm_70.ptx 566 : 144 630 0 0 0 0 0 0 18 
run.1.sm_70.ptx 565 : 144 864 0 0 0 0 0 0 0 
run.1.sm_70.ptx 564 : 144 58184 576 0 0 18 18 0 0 
run.1.sm_70.ptx 563 : 144 1296 0 0 0 0 0 0 0 
run.1.sm_70.ptx 562 : 144 1296 0 0 0 0 0 0 0 
run.1.sm_70.ptx 561 : 144 1296 0 0 0 0 0 0 0 
run.1.sm_70.ptx 560 : 144 864 0 0 0 0 0 0 0 
run.1.sm_70.ptx 559 : 144 864 0 0 0 0 0 0 0 
run.1.sm_70.ptx 558 : 144 864 0 0 0 0 0 0 0 
run.1.sm_70.ptx 557 : 144 864 0 0 0 0 0 0 0 
run.1.sm_70.ptx 556 : 144 4048 0 0 0 18 18 0 0 
run.1.sm_70.ptx 555 : 144 4000 0 0 0 18 18 0 0 
run.1.sm_70.ptx 580 : 524288 2619776 0 0 0 0 0 0 0 
run.1.sm_70.ptx 579 : 524288 3179616 0 0 0 0 0 0 0 
run.1.sm_70.ptx 578 : 524288 4756224 0 0 0 0 0 0 0 
run.1.sm_70.ptx 577 : 524288 3176480 0 0 0 0 0 0 0 
run.1.sm_70.ptx 553 : 524288 2673808 0 0 0 0 0 0 18 
run.1.sm_70.ptx 552 : 524288 3188416 0 0 0 0 0 0 0 
run.1.sm_70.ptx 551 : 524288 3185056 0 0 0 0 0 0 0 
run.1.sm_70.ptx 550 : 524288 3217888 0 0 0 0 0 0 0 
run.1.sm_70.ptx 547 : 65518 820978 0 0 0 65518 16384 0 0 
run.1.sm_70.ptx 515 : 524288 4762592 0 0 0 0 0 0 0 
