kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
run.1.sm_70.ptx 1648 : 524288 0 0 0 0 0 0 0 0 
run.1.sm_70.ptx 1647 : 524288 3410528 0 0 0 0 0 0 0 
run.1.sm_70.ptx 1646 : 524288 120269440 0 0 0 65536 16384 0 0 
run.1.sm_70.ptx 1645 : 524288 7084896 0 0 0 0 0 0 0 
run.1.sm_70.ptx 1644 : 524288 6414176 0 0 0 0 0 0 0 
run.1.sm_70.ptx 1643 : 524288 6335840 0 0 0 0 0 0 0 
run.1.sm_70.ptx 1642 : 524288 3876896 0 0 0 0 0 0 0 
run.1.sm_70.ptx 1640 : 524288 0 0 0 0 0 0 0 0 
run.1.sm_70.ptx 1639 : 524288 2799904 0 0 0 0 0 0 0 
run.1.sm_70.ptx 1636 : 65536 395344 0 0 0 0 0 0 0 
run.1.sm_70.ptx 1635 : 65536 532524 0 0 0 65536 16384 0 0 
run.1.sm_70.ptx 1633 : 524288 2441012 0 0 0 0 0 0 16384 
run.1.sm_70.ptx 1632 : 524288 3177088 0 0 0 0 0 0 0 
run.1.sm_70.ptx 1631 : 524288 3174816 0 0 0 0 0 0 0 
run.1.sm_70.ptx 1630 : 524288 4741184 0 0 0 0 0 0 0 
run.1.sm_70.ptx 1629 : 524288 2848864 0 0 0 0 0 0 0 
run.1.sm_70.ptx 1628 : 524288 3174240 0 0 0 0 0 0 0 
run.1.sm_70.ptx 1627 : 524288 3176512 0 0 0 0 0 0 0 
run.1.sm_70.ptx 1626 : 524288 3171680 0 0 0 0 0 0 0 
run.1.sm_70.ptx 1624 : 524288 0 0 0 0 0 0 0 0 
run.1.sm_70.ptx 1623 : 524288 3177440 0 0 0 0 0 0 0 
run.1.sm_70.ptx 1622 : 524288 3176736 0 0 0 0 0 0 0 
run.1.sm_70.ptx 1621 : 524288 3178944 0 0 0 0 0 0 0 
run.1.sm_70.ptx 1620 : 524288 3177632 0 0 0 0 0 0 0 
run.1.sm_70.ptx 1619 : 524288 3298048 0 0 0 0 0 0 0 
run.1.sm_70.ptx 1618 : 524288 3175552 0 0 0 0 0 0 0 
run.1.sm_70.ptx 1617 : 524288 3178368 0 0 0 0 0 0 0 
run.1.sm_70.ptx 1616 : 524288 3267104 0 0 0 0 0 0 0 
run.1.sm_70.ptx 1615 : 524288 3178528 0 0 0 0 0 0 0 
run.1.sm_70.ptx 1614 : 524288 14861024 0 0 0 65536 16384 0 0 
run.1.sm_70.ptx 1611 : 524288 3224480 0 0 0 0 0 0 0 
run.1.sm_70.ptx 1610 : 524288 4752512 0 0 0 0 0 0 0 
run.1.sm_70.ptx 1609 : 524288 3181920 0 0 0 0 0 0 0 
run.1.sm_70.ptx 1608 : 524288 2864576 0 0 0 0 0 0 0 
run.1.sm_70.ptx 1607 : 524288 3181632 0 0 0 0 0 0 0 
run.1.sm_70.ptx 1603 : 524288 2828608 0 0 0 0 0 0 0 
run.1.sm_70.ptx 1602 : 524288 3182848 0 0 0 0 0 0 0 
run.1.sm_70.ptx 1394 : 8192 60480 0 0 0 0 0 0 0 
run.1.sm_70.ptx 1393 : 8192 59136 0 0 0 0 0 0 0 
run.1.sm_70.ptx 1392 : 8192 1364160 0 0 0 256 256 0 0 
run.1.sm_70.ptx 1391 : 8192 84864 0 0 0 0 0 0 0 
run.1.sm_70.ptx 1390 : 8192 61440 0 0 0 0 0 0 0 
run.1.sm_70.ptx 1389 : 8192 61056 0 0 0 0 0 0 0 
run.1.sm_70.ptx 1387 : 8192 0 0 0 0 0 0 0 0 
run.1.sm_70.ptx 1386 : 8192 57344 0 0 0 0 0 0 0 
run.1.sm_70.ptx 1385 : 8192 1428288 0 0 0 256 256 0 0 
run.1.sm_70.ptx 1675 : 8192 42016 0 0 0 0 0 0 0 
run.1.sm_70.ptx 1384 : 8192 62720 0 0 0 0 0 0 0 
run.1.sm_70.ptx 1383 : 8192 62720 0 0 0 0 0 0 0 
run.1.sm_70.ptx 1382 : 8192 61184 0 0 0 0 0 0 0 
run.1.sm_70.ptx 1372 : 8192 110080 0 0 0 0 0 0 0 
