kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
run.1.sm_70.ptx 512 : 8192 40992 0 0 0 0 0 0 0 
run.1.sm_70.ptx 509 : 524288 2585760 0 0 0 0 0 0 0 
run.1.sm_70.ptx 508 : 524288 3146656 0 0 0 0 0 0 0 
run.1.sm_70.ptx 507 : 524288 4741920 0 0 0 0 0 0 0 
run.1.sm_70.ptx 504 : 65536 246952 0 0 0 16384 16384 0 0 
run.1.sm_70.ptx 503 : 65536 589900 0 0 0 0 0 0 0 
run.1.sm_70.ptx 502 : 65536 589884 0 0 0 0 0 0 0 
run.1.sm_70.ptx 501 : 65536 393276 0 0 0 0 0 0 0 
run.1.sm_70.ptx 500 : 65536 393296 0 0 0 0 0 0 0 
run.1.sm_70.ptx 499 : 65536 27473580 2090656 0 0 65536 16384 0 0 
run.1.sm_70.ptx 497 : 524288 2296756 0 0 0 0 0 0 16384 
run.1.sm_70.ptx 496 : 524288 3146464 0 0 0 0 0 0 0 
run.1.sm_70.ptx 495 : 524288 221373696 2090656 0 0 65536 16384 0 0 
run.1.sm_70.ptx 494 : 524288 4725152 0 0 0 0 0 0 0 
run.1.sm_70.ptx 493 : 524288 4723616 0 0 0 0 0 0 0 
run.1.sm_70.ptx 492 : 524288 4723488 0 0 0 0 0 0 0 
run.1.sm_70.ptx 462 : 524288 3155584 0 0 0 0 0 0 0 
run.1.sm_70.ptx 461 : 524288 3152000 0 0 0 0 0 0 0 
run.1.sm_70.ptx 460 : 524288 167225408 337280 0 0 16384 16384 0 0 
run.1.sm_70.ptx 459 : 524288 4737984 0 0 0 0 0 0 0 
run.1.sm_70.ptx 458 : 524288 4735040 0 0 0 0 0 0 0 
run.1.sm_70.ptx 457 : 524288 4739072 0 0 0 0 0 0 0 
run.1.sm_70.ptx 454 : 8192 68608 0 0 0 0 0 0 0 
run.1.sm_70.ptx 453 : 8192 71680 0 0 0 0 0 0 0 
run.1.sm_70.ptx 451 : 8192 0 0 0 0 0 0 0 0 
run.1.sm_70.ptx 450 : 8192 62720 0 0 0 0 0 0 0 
run.1.sm_70.ptx 463 : 524288 3152320 0 0 0 0 0 0 0 
run.1.sm_70.ptx 440 : 8192 110080 0 0 0 0 0 0 0 
run.1.sm_70.ptx 487 : 524288 13120128 0 0 0 16384 16384 0 0 
run.1.sm_70.ptx 464 : 524288 4726848 0 0 0 0 0 0 0 
run.1.sm_70.ptx 441 : 8192 117504 0 0 0 0 0 0 0 
run.1.sm_70.ptx 488 : 524288 3154368 0 0 0 0 0 0 0 
run.1.sm_70.ptx 442 : 8192 131072 0 0 0 0 0 0 0 
run.1.sm_70.ptx 489 : 524288 3155616 0 0 0 0 0 0 0 
run.1.sm_70.ptx 443 : 8192 131072 0 0 0 0 0 0 0 
run.1.sm_70.ptx 490 : 524288 3149984 0 0 0 0 0 0 0 
run.1.sm_70.ptx 444 : 8192 130304 0 0 0 0 0 0 0 
run.1.sm_70.ptx 491 : 524288 3153568 0 0 0 0 0 0 0 
run.1.sm_70.ptx 445 : 8192 187136 0 0 0 0 0 0 0 
run.1.sm_70.ptx 446 : 8192 56576 0 0 0 0 0 0 0 
run.1.sm_70.ptx 447 : 8192 53248 0 0 0 0 0 0 0 
run.1.sm_70.ptx 448 : 8192 103168 0 0 0 0 0 0 0 
run.1.sm_70.ptx 449 : 8192 71424 0 0 0 0 0 0 0 
run.1.sm_70.ptx 465 : 524288 4733184 0 0 0 0 0 0 0 
run.1.sm_70.ptx 466 : 524288 4731680 0 0 0 0 0 0 0 
run.1.sm_70.ptx 467 : 524288 4733152 0 0 0 0 0 0 0 
run.1.sm_70.ptx 468 : 524288 12630944 0 0 0 16384 16384 0 0 
run.1.sm_70.ptx 469 : 524288 221836256 2090688 0 0 65536 16384 0 0 
run.1.sm_70.ptx 470 : 524288 3146432 0 0 0 0 0 0 0 
run.1.sm_70.ptx 471 : 524288 2296644 0 0 0 0 0 0 16384 
run.1.sm_70.ptx 473 : 65536 27645996 2090688 0 0 65536 16384 0 0 
run.1.sm_70.ptx 474 : 65536 393288 0 0 0 0 0 0 0 
run.1.sm_70.ptx 475 : 65536 393256 0 0 0 0 0 0 0 
run.1.sm_70.ptx 476 : 65536 589904 0 0 0 0 0 0 0 
run.1.sm_70.ptx 477 : 65536 589936 0 0 0 0 0 0 0 
run.1.sm_70.ptx 478 : 65536 314928 0 0 0 16384 16384 0 0 
run.1.sm_70.ptx 479 : 65536 1842628 0 0 0 65536 16384 0 0 
run.1.sm_70.ptx 480 : 65536 1863352 0 0 0 16384 16384 0 0 
run.1.sm_70.ptx 483 : 524288 3163584 0 0 0 0 0 0 0 
run.1.sm_70.ptx 484 : 524288 2642016 0 0 0 0 0 0 0 
run.1.sm_70.ptx 485 : 524288 3180768 0 0 0 0 0 0 0 
run.1.sm_70.ptx 486 : 524288 12942592 0 0 0 16384 16384 0 0 
