kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
bfs.1.sm_70.ptx 5287 : 512 2560 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 5284 : 521 135 0 0 0 0 0 0 3 
bfs.1.sm_70.ptx 5283 : 521 3282 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 5282 : 521 30014 0 19 19 0 0 0 0 
bfs.1.sm_70.ptx 5281 : 521 17931 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 5280 : 521 50307 0 19 19 0 0 0 0 
bfs.1.sm_70.ptx 5278 : 521 40110 0 0 0 182 19 0 0 
bfs.1.sm_70.ptx 5276 : 521 22838 0 69 19 0 0 0 0 
bfs.1.sm_70.ptx 5275 : 521 5685 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 4948 : 49901 209735 0 0 0 0 0 0 1601 
bfs.1.sm_70.ptx 4947 : 49901 299594 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 4944 : 41947 377523 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 4863 : 11126 55631 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 5272 : 521 5497 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 4862 : 11126 0 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 5271 : 521 5253 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 4861 : 11126 66756 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 5270 : 521 4895 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 4860 : 11126 356392 0 1662 1662 0 0 0 0 
bfs.1.sm_70.ptx 5269 : 521 13010 0 19 19 0 0 0 0 
bfs.1.sm_70.ptx 4858 : 11126 0 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 4857 : 11126 66756 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 5266 : 512 90 0 0 0 0 0 0 2 
bfs.1.sm_70.ptx 4856 : 11126 2088974 0 0 0 10843 1662 0 0 
bfs.1.sm_70.ptx 5265 : 512 3072 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 4855 : 11126 100134 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 4854 : 11126 66756 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 4852 : 24101 64875 0 0 0 0 0 0 1648 
bfs.1.sm_70.ptx 4851 : 24101 144606 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 5260 : 240 720 0 0 0 240 240 0 0 
bfs.1.sm_70.ptx 4850 : 24101 4860440 0 0 0 22870 1681 0 0 
bfs.1.sm_70.ptx 4849 : 24101 217867 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 5258 : 240 1200 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 4848 : 24101 216909 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 4847 : 24101 144606 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 5256 : 240 720 0 0 0 240 240 0 0 
bfs.1.sm_70.ptx 4846 : 24101 217723 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 4845 : 24101 10802806 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 4838 : 24101 121735 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 4837 : 32454 42863 0 0 0 0 0 0 1629 
bfs.1.sm_70.ptx 4836 : 32454 196384 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 5245 : 240 15840 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 4834 : 41947 48157 0 0 0 0 0 0 1658 
bfs.1.sm_70.ptx 4833 : 41947 252029 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 5242 : 240 744 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 4831 : 49901 40871 0 0 0 0 0 0 1601 
bfs.1.sm_70.ptx 4830 : 49901 303734 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 5239 : 240 729 0 0 0 240 240 0 0 
