kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
bfs.1.sm_70.ptx 1836 : 1024 6592 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 1834 : 1024 9088 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 1831 : 1024 8320 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 1829 : 1024 5184 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 1828 : 1024 5696 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 1821 : 2 6 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 1826 : 1024 7360 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 1819 : 2 10 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 1818 : 2 12 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 1816 : 1024 5492 0 0 0 0 0 0 2 
bfs.1.sm_70.ptx 1815 : 1024 6208 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 1814 : 1024 10752 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 1813 : 1024 9088 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 1812 : 1024 11968 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 1811 : 1024 8640 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 1810 : 1024 8320 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 1809 : 1024 11968 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 1808 : 1024 5248 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 1807 : 1024 5248 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 1806 : 1024 5120 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 1805 : 1024 5120 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 336 : 3 27 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 335 : 3 9 0 0 0 1 1 0 0 
bfs.1.sm_70.ptx 328 : 3 18 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 324 : 3 15 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 319 : 1024 29952 0 32 32 0 0 0 0 
bfs.1.sm_70.ptx 309 : 2 10 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 308 : 1024 5110 0 0 0 0 0 0 2 
bfs.1.sm_70.ptx 195 : 2 10 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 194 : 2 12 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 191 : 2 18 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 188 : 1 3 0 1 1 0 0 0 0 
bfs.1.sm_70.ptx 187 : 1 9 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 186 : 1 5 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 185 : 1 6 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 184 : 1 23 0 1 1 0 0 0 0 
bfs.1.sm_70.ptx 183 : 1 5 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 181 : 1 0 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 180 : 1 6 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 179 : 1 171 0 0 0 1 1 0 0 
bfs.1.sm_70.ptx 177 : 1 0 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 176 : 1 6 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 175 : 1 192 0 0 0 1 1 0 0 
bfs.1.sm_70.ptx 101 : 2 12 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 99 : 2 0 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 98 : 2 12 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 97 : 2 12 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 96 : 2 18 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 95 : 2 36 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 94 : 2 18 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 92 : 2 0 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 91 : 2 12 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 90 : 2 18 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 89 : 2 384 0 0 0 2 2 0 0 
bfs.1.sm_70.ptx 88 : 2 596 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 87 : 2 18 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 86 : 2 6 0 0 0 2 2 0 0 
bfs.1.sm_70.ptx 85 : 2 10 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 84 : 2 18 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 83 : 2 18 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 82 : 2 384 0 0 0 2 2 0 0 
bfs.1.sm_70.ptx 81 : 2 18 0 0 0 0 0 0 0 
bfs.1.sm_70.ptx 80 : 2 18 0 0 0 0 0 0 0 
