kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
histo.1.sm_70.ptx 6452 : 43008 215040 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6396 : 8192 0 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6395 : 8192 50912 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6394 : 8192 73728 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6392 : 8192 864608 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6389 : 8192 862368 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6387 : 8192 40960 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6386 : 8192 41120 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6384 : 8192 256608 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6381 : 8192 251392 0 0 0 1024 256 0 0 
histo.1.sm_70.ptx 6379 : 8192 41088 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6378 : 8192 73728 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6377 : 8192 222368 0 0 0 1024 256 0 0 
histo.1.sm_70.ptx 6376 : 8192 73728 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6375 : 8192 73728 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6374 : 8192 49536 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6373 : 8192 40992 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6372 : 8192 49280 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6371 : 8192 40992 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6370 : 8192 49440 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6369 : 8192 40992 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6368 : 8192 147488 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6367 : 8192 2011456 0 0 0 4096 256 0 0 
histo.1.sm_70.ptx 6366 : 8192 149024 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6365 : 8192 1849888 0 0 0 4096 256 0 0 
histo.1.sm_70.ptx 6364 : 8192 148288 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6363 : 8192 1908928 0 0 0 4096 256 0 0 
histo.1.sm_70.ptx 6362 : 8192 147456 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6449 : 503808 2309312 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6448 : 503808 3029760 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6447 : 503808 4544096 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6361 : 8192 41600 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6360 : 8192 15334432 131072 0 0 4096 256 0 0 
histo.1.sm_70.ptx 6359 : 8192 73728 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6358 : 8192 73728 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6357 : 8192 73728 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6356 : 8192 73728 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6355 : 8192 73728 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6354 : 8192 73728 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6353 : 8192 73728 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6352 : 8192 73728 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6351 : 8192 73728 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6350 : 8192 73728 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6349 : 8192 73728 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6348 : 8192 49184 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6345 : 8192 73728 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6344 : 8192 40992 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6343 : 8192 49152 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6333 : 12288 0 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6332 : 12288 77472 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6331 : 12288 119712 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6445 : 503808 46384896 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6442 : 503808 46584096 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6440 : 503808 2572896 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6439 : 503808 3101184 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6329 : 12288 3223968 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6326 : 12288 3226592 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6324 : 12288 71808 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6323 : 12288 299040 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6437 : 503808 13112512 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6434 : 503808 13083200 0 0 0 62976 15744 0 0 
histo.1.sm_70.ptx 6432 : 503808 4816448 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6431 : 503808 12428160 0 0 0 62976 15744 0 0 
histo.1.sm_70.ptx 6430 : 503808 4669632 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6429 : 503808 4557952 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6428 : 503808 3082368 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6427 : 503808 2556096 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6426 : 503808 3094752 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6425 : 503808 2540864 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6424 : 503808 3069184 0 0 0 0 0 0 0 
histo.1.sm_70.ptx 6423 : 503808 2548416 0 0 0 0 0 0 0 
