kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
lbm.2.sm_70.ptx 3131 : 125079 8015485 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3130 : 126338 1844673 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3129 : 126370 1694677 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3128 : 126401 1359029 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3127 : 126401 4750890 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3126 : 126838 1339058 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3125 : 126838 8373857 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3124 : 127740 1884792 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3123 : 127834 1628391 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3122 : 127897 1366409 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3121 : 128284 6180426 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3120 : 128481 1361065 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3119 : 128481 7070337 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3118 : 129564 2035901 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3117 : 129651 1557562 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3116 : 129745 1353543 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3115 : 129991 10182521 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3114 : 130723 1310157 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3113 : 130818 2756747 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3112 : 130960 6534012 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3111 : 132387 1856087 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3110 : 132387 1748408 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3109 : 132442 1372287 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3108 : 132708 6712693 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3107 : 133053 1372292 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3106 : 133053 6039633 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3105 : 134626 2039066 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3104 : 134680 1711314 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3103 : 134838 1465273 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3102 : 134993 6044819 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3101 : 135413 1344086 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3100 : 135413 6334952 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3099 : 136633 1838783 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3098 : 136665 1681008 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3097 : 136728 1365998 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3096 : 136933 6835946 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2996 : 173810 4156575 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2995 : 173958 4184347 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2994 : 173990 4517746 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2993 : 174201 4427223 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2992 : 174233 1818514 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2991 : 174327 3979534 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2990 : 174437 3937366 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2989 : 174617 3651523 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2988 : 174617 3878048 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2987 : 174749 3936190 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2986 : 174907 3855259 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2985 : 174994 3931463 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2984 : 175049 4554180 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2983 : 175135 1756411 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2982 : 175198 3872630 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2981 : 175221 4021516 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2980 : 175285 4216986 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3146 : 142976 38718104 0 0 0 22625 4753 0 0 
lbm.2.sm_70.ptx 2947 : 200408 5946272 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2979 : 175372 4289890 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2978 : 175427 4399167 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2977 : 175553 4476450 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3145 : 143160 38902064 0 0 0 22654 4759 0 0 
lbm.2.sm_70.ptx 2946 : 221416 893141640 818208 0 0 27677 7368 0 0 
lbm.2.sm_70.ptx 2976 : 175681 4464383 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2975 : 175745 4588678 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2974 : 175831 4554607 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2973 : 176089 4372628 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2972 : 176184 4691267 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2971 : 176248 4543083 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2970 : 176431 4456816 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2969 : 176590 4405550 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2968 : 176708 3994903 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2967 : 177031 3256243 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2966 : 177094 2274214 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2965 : 177157 1865613 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3144 : 143288 38976384 0 0 0 22674 4763 0 0 
lbm.2.sm_70.ptx 2945 : 221544 894810056 818464 0 0 27693 7372 0 0 
lbm.2.sm_70.ptx 2950 : 177251 6895761 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3149 : 142536 38257336 0 0 0 17817 4739 0 0 
lbm.2.sm_70.ptx 2937 : 222344 879568032 823104 0 0 27793 7398 0 0 
lbm.2.sm_70.ptx 3136 : 143864 29073784 0 0 0 17983 4782 0 0 
lbm.2.sm_70.ptx 2936 : 222536 876575344 823296 0 0 27817 7404 0 0 
lbm.2.sm_70.ptx 3135 : 144032 10737120 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2935 : 222592 876255192 823616 0 0 27824 7406 0 0 
lbm.2.sm_70.ptx 3134 : 144240 5719728 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2934 : 222680 874368176 824160 0 0 27835 7409 0 0 
lbm.2.sm_70.ptx 2933 : 222888 873133320 824608 0 0 27861 7416 0 0 
lbm.2.sm_70.ptx 2932 : 223096 872303168 824832 0 0 27887 7423 0 0 
lbm.2.sm_70.ptx 2931 : 223272 871666808 825632 0 0 27909 7429 0 0 
lbm.2.sm_70.ptx 2930 : 223328 867965400 825600 0 0 27916 7431 0 0 
lbm.2.sm_70.ptx 2929 : 223472 865677456 826496 0 0 27934 7436 0 0 
lbm.2.sm_70.ptx 2928 : 223632 857567184 826560 0 0 27954 7441 0 0 
lbm.2.sm_70.ptx 2927 : 223664 853777688 827136 0 0 27958 7442 0 0 
lbm.2.sm_70.ptx 2926 : 224288 19433128 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2916 : 234496 30639400 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2917 : 234200 22336576 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2918 : 232736 9145776 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2919 : 230480 16367824 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2920 : 230208 6030096 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2921 : 228824 12297864 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2922 : 228360 6383320 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2923 : 227096 21007048 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2924 : 226504 6107680 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2925 : 225680 13479824 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2938 : 222280 879990560 822880 0 0 27785 7396 0 0 
lbm.2.sm_70.ptx 3137 : 143800 30837984 0 0 0 17975 4780 0 0 
lbm.2.sm_70.ptx 2939 : 222184 884667128 822496 0 0 27773 7393 0 0 
lbm.2.sm_70.ptx 3138 : 143720 33148096 0 0 0 17965 4777 0 0 
lbm.2.sm_70.ptx 2942 : 221960 889990536 820736 0 0 27745 7386 0 0 
lbm.2.sm_70.ptx 3141 : 143576 37237112 0 0 0 17947 4772 0 0 
lbm.2.sm_70.ptx 2943 : 221896 893040712 819968 0 0 27737 7384 0 0 
lbm.2.sm_70.ptx 3142 : 143448 37622184 0 0 0 17931 4768 0 0 
lbm.2.sm_70.ptx 2944 : 221696 892760752 819392 0 0 27712 7377 0 0 
lbm.2.sm_70.ptx 3143 : 143448 38194752 0 0 0 22699 4768 0 0 
lbm.2.sm_70.ptx 3139 : 143664 34794136 0 0 0 22733 4775 0 0 
lbm.2.sm_70.ptx 2940 : 222120 885257832 822432 0 0 27765 7391 0 0 
lbm.2.sm_70.ptx 3140 : 143608 36495304 0 0 0 22724 4773 0 0 
lbm.2.sm_70.ptx 2941 : 222056 888372384 821120 0 0 27757 7389 0 0 
lbm.2.sm_70.ptx 2948 : 199912 11305056 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3147 : 142784 38712632 0 0 0 17848 4747 0 0 
lbm.2.sm_70.ptx 2949 : 198944 4677613 0 0 0 0 0 0 2967 
lbm.2.sm_70.ptx 3148 : 142696 38656296 0 0 0 17837 4744 0 0 
lbm.2.sm_70.ptx 2953 : 20389 729138 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3152 : 142136 37732488 0 0 0 22493 4726 0 0 
lbm.2.sm_70.ptx 2954 : 20385 881161 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3153 : 142048 37668840 0 0 0 22479 4723 0 0 
lbm.2.sm_70.ptx 2955 : 20383 1413455 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3154 : 142016 37588704 0 0 0 22474 4722 0 0 
lbm.2.sm_70.ptx 3150 : 142408 37615760 0 0 0 17801 4735 0 0 
lbm.2.sm_70.ptx 2956 : 20381 826068 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3155 : 141320 2696416 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3151 : 142280 37293200 0 0 0 22516 4731 0 0 
lbm.2.sm_70.ptx 2957 : 20378 313001 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2958 : 20374 1851623 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2959 : 20372 3437961 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2960 : 20371 1218829 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2961 : 20369 1027052 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2962 : 20368 255221 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2997 : 173651 4169179 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2998 : 173524 4603865 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 2999 : 173350 3991396 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3000 : 173318 3867209 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3001 : 173295 1741084 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3002 : 173231 4284059 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3003 : 173167 4005929 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3004 : 173074 4926676 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3005 : 172988 4001412 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3006 : 172826 4191770 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3007 : 172739 4361384 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3008 : 172643 4108631 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3009 : 172526 4366963 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3010 : 172503 10818102 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3011 : 172471 7748380 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3012 : 172439 10556720 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3013 : 170337 4591296 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3014 : 169512 6937296 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3015 : 168907 8700568 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3016 : 168852 3769298 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3017 : 168757 3457907 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3018 : 168725 1737775 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3019 : 167837 7212597 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3020 : 167088 8444088 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3021 : 166384 9371731 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3022 : 166384 1589909 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3023 : 166251 1862317 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3024 : 165961 2104444 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3025 : 164539 8034954 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3026 : 164539 1585119 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3027 : 164319 4096053 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3028 : 164147 1746959 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3029 : 164147 1930094 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3030 : 164124 2538959 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3031 : 162565 6311744 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3032 : 162510 3394417 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3033 : 162447 1650114 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3034 : 162424 1870943 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3035 : 162369 2255392 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3036 : 161067 6907931 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3037 : 160958 3487705 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3038 : 160863 1670623 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3039 : 160831 1876439 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3040 : 160767 2135241 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3041 : 159011 5298786 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3042 : 158925 2752814 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3043 : 158861 1658825 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3044 : 158798 1801299 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3045 : 158766 2104300 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3046 : 157056 6717771 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3047 : 156896 3327823 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3048 : 156777 1594804 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3049 : 156691 1825375 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3050 : 156660 1945623 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3051 : 155384 6324719 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3052 : 155126 3408720 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3053 : 155071 1628046 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3054 : 155017 1886603 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3055 : 154994 2175487 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3056 : 153480 6956667 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3057 : 153480 1511174 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3058 : 153480 1455422 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3059 : 152753 7164087 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3060 : 152487 1649860 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3061 : 152424 1870384 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3062 : 152268 2250574 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3063 : 150475 5353100 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3064 : 150475 1409970 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3065 : 149715 6368029 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3066 : 149532 1507110 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3067 : 149532 1703742 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3068 : 149532 1954349 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3069 : 147518 5321281 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3070 : 147518 1428892 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3071 : 146894 5832831 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3072 : 146595 1502963 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3073 : 146500 1768522 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3074 : 146468 2015287 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3075 : 144596 4675523 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3076 : 144501 2860488 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3077 : 144437 1441496 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3078 : 143730 8478910 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3079 : 143588 1477555 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3080 : 143533 1812749 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3081 : 143470 1994821 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3082 : 142084 6178753 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3083 : 142084 1361192 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3084 : 141480 6360082 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3085 : 141332 1462893 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3086 : 141309 1861988 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3087 : 141309 1949494 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3088 : 139859 6422765 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3089 : 139859 1392410 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3090 : 139386 6587534 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3091 : 139046 1491046 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3092 : 139014 1728517 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3093 : 138833 1853311 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3094 : 137340 5677344 0 0 0 0 0 0 0 
lbm.2.sm_70.ptx 3095 : 137340 1348622 0 0 0 0 0 0 0 
