kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
mri-gridding.3.sm_70.ptx 1022 : 64 640 0 0 0 16 2 0 0 
mri-gridding.3.sm_70.ptx 1019 : 64 1632 0 4 2 0 0 0 0 
mri-gridding.3.sm_70.ptx 1018 : 64 320 0 0 0 0 0 0 0 
mri-gridding.3.sm_70.ptx 1013 : 448 2688 0 0 0 0 0 0 0 
mri-gridding.3.sm_70.ptx 1012 : 448 2688 0 0 0 0 0 0 0 
mri-gridding.3.sm_70.ptx 230 : 209920 1259520 0 0 0 0 0 0 0 
mri-gridding.3.sm_70.ptx 211 : 41 246 0 0 0 0 0 0 0 
mri-gridding.3.sm_70.ptx 210 : 41 369 0 0 0 0 0 0 0 
mri-gridding.3.sm_70.ptx 209 : 41 246 0 0 0 0 0 0 0 
mri-gridding.3.sm_70.ptx 208 : 41 246 0 0 0 0 0 0 0 
mri-gridding.3.sm_70.ptx 207 : 41 369 0 0 0 0 0 0 0 
mri-gridding.3.sm_70.ptx 206 : 41 369 0 0 0 0 0 0 0 
mri-gridding.3.sm_70.ptx 1023 : 64 320 0 0 0 0 0 0 0 
mri-gridding.3.sm_70.ptx 205 : 41 246 0 0 0 0 0 0 0 
mri-gridding.3.sm_70.ptx 228 : 209920 1317248 0 0 0 0 0 0 0 
mri-gridding.3.sm_70.ptx 1021 : 64 2304 0 4 2 0 0 0 0 
mri-gridding.3.sm_70.ptx 203 : 20992 127059 0 0 0 0 0 0 41 
mri-gridding.3.sm_70.ptx 1020 : 64 896 0 0 0 16 2 0 0 
mri-gridding.3.sm_70.ptx 202 : 20992 131200 0 0 0 0 0 0 0 
mri-gridding.3.sm_70.ptx 199 : 209920 989440 0 0 0 0 0 0 0 
mri-gridding.3.sm_70.ptx 198 : 209920 1299008 0 0 0 0 0 0 0 
mri-gridding.3.sm_70.ptx 1015 : 448 1920 0 0 0 0 0 0 0 
mri-gridding.3.sm_70.ptx 197 : 209920 1328032 0 0 0 0 0 0 0 
mri-gridding.3.sm_70.ptx 1014 : 448 2688 0 0 0 0 0 0 0 
mri-gridding.3.sm_70.ptx 196 : 209920 1337120 0 0 0 0 0 0 0 
mri-gridding.3.sm_70.ptx 193 : 41943 612587 0 7831 1476 0 0 0 0 
mri-gridding.3.sm_70.ptx 989 : 127 1143 0 0 0 0 0 0 0 
mri-gridding.3.sm_70.ptx 192 : 41943 392847 0 0 0 0 0 0 0 
mri-gridding.3.sm_70.ptx 1009 : 127 627 0 23 8 0 0 0 0 
mri-gridding.3.sm_70.ptx 191 : 41943 2194228 0 7831 1476 0 0 0 0 
mri-gridding.3.sm_70.ptx 1008 : 127 1143 0 0 0 0 0 0 0 
