kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
mri-gridding.4.sm_70.ptx 4912 : 664064 10565472 0 0 0 0 0 0 0 
mri-gridding.4.sm_70.ptx 4881 : 663978 87731376 0 0 0 342910 20750 0 0 
mri-gridding.4.sm_70.ptx 4880 : 663978 13222650 0 0 0 0 0 0 0 
mri-gridding.4.sm_70.ptx 4869 : 663978 135109798 0 0 0 344179 20750 0 0 
mri-gridding.4.sm_70.ptx 4866 : 663978 92316526 0 0 0 344179 20750 0 0 
mri-gridding.4.sm_70.ptx 4865 : 663978 12670682 0 0 0 0 0 0 0 
mri-gridding.4.sm_70.ptx 4860 : 663978 240043028 0 0 0 0 0 0 0 
mri-gridding.4.sm_70.ptx 4836 : 663978 96742450 0 0 0 341310 20750 0 0 
mri-gridding.4.sm_70.ptx 4832 : 663978 200438272 0 0 0 0 0 0 0 
mri-gridding.4.sm_70.ptx 4765 : 338614332 2838893860 0 0 0 0 0 0 0 
mri-gridding.4.sm_70.ptx 4764 : 338614332 3514691388 0 0 0 0 0 0 0 
mri-gridding.4.sm_70.ptx 4842 : 663978 129439178 0 0 0 0 0 0 0 
mri-gridding.4.sm_70.ptx 1550 : 5302136 40793198 0 0 0 0 0 0 0 
mri-gridding.4.sm_70.ptx 1549 : 5302136 55767766 0 0 0 0 0 0 0 
mri-gridding.4.sm_70.ptx 1548 : 5302136 58658414 0 0 0 0 0 0 0 
mri-gridding.4.sm_70.ptx 4839 : 663978 133950954 0 0 0 341310 20750 0 0 
mri-gridding.4.sm_70.ptx 1547 : 5302136 56231709 0 0 0 0 0 0 0 
mri-gridding.4.sm_70.ptx 1546 : 5302136 56571483 0 0 0 0 0 0 0 
mri-gridding.4.sm_70.ptx 4837 : 663978 14241050 0 0 0 0 0 0 0 
mri-gridding.4.sm_70.ptx 1545 : 5302136 55475269 0 0 0 0 0 0 0 
mri-gridding.4.sm_70.ptx 4835 : 663978 9462586 0 0 0 0 0 0 0 
mri-gridding.4.sm_70.ptx 1543 : 23906304 133973420 0 0 0 0 0 0 51880 
mri-gridding.4.sm_70.ptx 4834 : 663978 12610074 0 0 0 0 0 0 0 
mri-gridding.4.sm_70.ptx 1542 : 23906304 194009344 0 0 0 0 0 0 0 
mri-gridding.4.sm_70.ptx 1541 : 23906304 154777504 0 0 0 0 0 0 0 
mri-gridding.4.sm_70.ptx 1538 : 2656256 0 0 0 0 0 0 0 0 
mri-gridding.4.sm_70.ptx 4829 : 663978 223306432 0 0 0 0 0 0 0 
mri-gridding.4.sm_70.ptx 1537 : 2656256 19569824 0 0 0 0 0 0 0 
mri-gridding.4.sm_70.ptx 1536 : 2656256 18045536 0 0 0 0 0 0 0 
mri-gridding.4.sm_70.ptx 1535 : 2656256 34671456 0 0 0 0 0 0 0 
mri-gridding.4.sm_70.ptx 4826 : 663978 126590992 0 0 0 0 0 0 0 
mri-gridding.4.sm_70.ptx 1534 : 2656256 132921504 0 166016 83008 0 0 0 0 
mri-gridding.4.sm_70.ptx 1533 : 2656256 28537280 0 0 0 0 0 0 0 
mri-gridding.4.sm_70.ptx 1532 : 2656256 40710048 0 0 0 0 0 0 0 
mri-gridding.4.sm_70.ptx 4823 : 663978 131065872 0 0 0 342910 20750 0 0 
mri-gridding.4.sm_70.ptx 1531 : 2656256 192286976 0 166016 83008 0 0 0 0 
