kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
mri-q.1.sm_70.ptx 530 : 128 384 0 0 0 0 0 0 0 
mri-q.1.sm_70.ptx 527 : 128 384 0 0 0 128 128 0 0 
mri-q.1.sm_70.ptx 525 : 128 640 0 0 0 0 0 0 0 
mri-q.1.sm_70.ptx 524 : 128 1152 0 0 0 0 0 0 0 
mri-q.1.sm_70.ptx 523 : 128 768 0 0 0 0 0 0 0 
mri-q.1.sm_70.ptx 522 : 128 640 0 0 0 0 0 0 0 
mri-q.1.sm_70.ptx 521 : 128 1152 0 0 0 0 0 0 0 
mri-q.1.sm_70.ptx 520 : 128 1280 0 0 0 0 0 0 0 
mri-q.1.sm_70.ptx 519 : 128 640 0 0 0 0 0 0 0 
mri-q.1.sm_70.ptx 518 : 128 1280 0 0 0 0 0 0 0 
mri-q.1.sm_70.ptx 517 : 128 640 0 0 0 0 0 0 0 
mri-q.1.sm_70.ptx 516 : 128 640 0 0 0 0 0 0 0 
mri-q.1.sm_70.ptx 515 : 128 640 0 0 0 0 0 0 0 
mri-q.1.sm_70.ptx 512 : 128 640 0 0 0 0 0 0 0 
mri-q.1.sm_70.ptx 534 : 32768 163840 0 0 0 0 0 0 0 
mri-q.1.sm_70.ptx 511 : 32768 163200 0 0 0 0 0 0 128 
mri-q.1.sm_70.ptx 510 : 32768 163840 0 0 0 0 0 0 0 
mri-q.1.sm_70.ptx 508 : 32768 65568 0 0 0 0 0 0 0 
mri-q.1.sm_70.ptx 490 : 128 1428 0 0 0 0 0 0 0 
mri-q.1.sm_70.ptx 487 : 128 1424 0 0 0 128 128 0 0 
mri-q.1.sm_70.ptx 485 : 128 678 0 0 0 0 0 0 0 
mri-q.1.sm_70.ptx 484 : 128 1218 0 0 0 0 0 0 0 
mri-q.1.sm_70.ptx 483 : 128 1815 0 0 0 0 0 0 0 
mri-q.1.sm_70.ptx 482 : 128 844 0 0 0 0 0 0 0 
mri-q.1.sm_70.ptx 505 : 32768 1025536 0 0 0 0 0 0 0 
mri-q.1.sm_70.ptx 481 : 128 1821 0 0 0 0 0 0 0 
mri-q.1.sm_70.ptx 502 : 32768 996032 131072 0 0 4096 1024 0 0 
mri-q.1.sm_70.ptx 500 : 32768 303712 0 0 0 0 0 0 0 
mri-q.1.sm_70.ptx 498 : 32768 445632 131072 0 0 4096 1024 0 0 
mri-q.1.sm_70.ptx 480 : 128 1307 0 0 0 0 0 0 0 
mri-q.1.sm_70.ptx 479 : 128 697 0 0 0 0 0 0 0 
mri-q.1.sm_70.ptx 496 : 32768 297792 0 0 0 0 0 0 0 
mri-q.1.sm_70.ptx 478 : 128 1294 0 0 0 0 0 0 0 
mri-q.1.sm_70.ptx 477 : 128 655 0 0 0 0 0 0 0 
mri-q.1.sm_70.ptx 495 : 32768 197248 0 0 0 0 0 0 0 
mri-q.1.sm_70.ptx 476 : 128 651 0 0 0 0 0 0 0 
