kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
sad.3.sm_70.ptx 93 : 12672 63360 0 0 0 0 0 0 0 
sad.3.sm_70.ptx 91 : 12672 67968 0 0 0 0 0 0 0 
sad.3.sm_70.ptx 72 : 12672 76032 0 0 0 0 0 0 0 
sad.3.sm_70.ptx 67 : 12672 90464 0 0 0 0 0 0 0 
sad.3.sm_70.ptx 66 : 12672 129792 0 0 0 0 0 0 0 
sad.2.sm_70.ptx 186 : 50688 472224 0 0 0 0 0 0 0 
sad.2.sm_70.ptx 185 : 50688 598432 0 0 0 7920 1584 0 0 
sad.2.sm_70.ptx 160 : 12672 116800 0 0 0 0 0 0 0 
sad.2.sm_70.ptx 151 : 12672 125088 0 0 0 0 0 0 0 
sad.2.sm_70.ptx 132 : 396 3885 0 0 0 0 0 0 0 
sad.2.sm_70.ptx 131 : 396 4201 0 0 0 396 396 0 0 
sad.2.sm_70.ptx 130 : 396 3592 0 0 0 0 0 0 0 
sad.2.sm_70.ptx 129 : 396 3763 0 0 0 0 0 0 0 
sad.2.sm_70.ptx 128 : 396 3471 0 0 0 396 396 0 0 
sad.2.sm_70.ptx 127 : 396 3721 0 0 0 0 0 0 0 
sad.2.sm_70.ptx 126 : 396 2516 0 0 0 396 396 0 0 
sad.2.sm_70.ptx 125 : 396 3627 0 0 0 0 0 0 0 
sad.2.sm_70.ptx 124 : 396 3680 0 0 0 0 0 0 0 
sad.2.sm_70.ptx 123 : 396 2181 0 0 0 396 396 0 0 
sad.2.sm_70.ptx 122 : 396 3570 0 0 0 0 0 0 0 
sad.2.sm_70.ptx 121 : 396 1743 0 0 0 396 396 0 0 
sad.2.sm_70.ptx 120 : 396 3576 0 0 0 0 0 0 0 
sad.2.sm_70.ptx 119 : 396 3570 0 0 0 0 0 0 0 
sad.2.sm_70.ptx 118 : 396 191564 12672 0 0 396 396 0 0 
sad.2.sm_70.ptx 117 : 396 190530 12672 0 0 396 396 0 0 
sad.2.sm_70.ptx 116 : 396 189618 12672 0 0 396 396 0 0 
sad.2.sm_70.ptx 115 : 396 187300 12672 0 0 396 396 0 0 
sad.2.sm_70.ptx 114 : 396 3573 0 0 0 0 0 0 0 
sad.2.sm_70.ptx 113 : 396 3564 0 0 0 0 0 0 0 
sad.2.sm_70.ptx 89 : 396 1992 0 0 0 0 0 0 0 
sad.3.sm_70.ptx 88 : 12672 56800 0 0 0 0 0 0 0 
sad.2.sm_70.ptx 88 : 396 2380 0 0 0 0 0 0 0 
sad.3.sm_70.ptx 86 : 12672 63360 0 0 0 0 0 0 0 
sad.2.sm_70.ptx 86 : 12672 61845 0 0 0 0 0 0 396 
sad.3.sm_70.ptx 85 : 12672 63360 0 0 0 0 0 0 0 
sad.2.sm_70.ptx 85 : 12672 76704 0 0 0 0 0 0 0 
sad.2.sm_70.ptx 84 : 12672 114112 0 0 0 0 0 0 0 
sad.3.sm_70.ptx 83 : 12672 34528 0 0 0 0 0 0 0 
sad.2.sm_70.ptx 83 : 12672 114528 0 0 0 0 0 0 0 
sad.2.sm_70.ptx 82 : 12672 114336 0 0 0 0 0 0 0 
sad.2.sm_70.ptx 81 : 12672 114336 0 0 0 0 0 0 0 
sad.2.sm_70.ptx 79 : 12672 0 0 0 0 0 0 0 0 
sad.3.sm_70.ptx 78 : 99 316 0 0 0 0 0 0 0 
sad.2.sm_70.ptx 78 : 12672 76320 0 0 0 0 0 0 0 
sad.2.sm_70.ptx 77 : 12672 76032 0 0 0 0 0 0 0 
sad.3.sm_70.ptx 76 : 99 495 0 0 0 0 0 0 0 
sad.2.sm_70.ptx 76 : 12672 114048 0 0 0 0 0 0 0 
sad.3.sm_70.ptx 75 : 99 495 0 0 0 0 0 0 0 
sad.2.sm_70.ptx 75 : 12672 76032 0 0 0 0 0 0 0 
sad.2.sm_70.ptx 74 : 12672 114048 0 0 0 0 0 0 0 
sad.3.sm_70.ptx 73 : 12672 63279 0 0 0 0 0 0 99 
sad.2.sm_70.ptx 73 : 12672 64896 0 0 0 0 0 0 0 
sad.3.sm_70.ptx 71 : 12672 114048 0 0 0 0 0 0 0 
sad.2.sm_70.ptx 71 : 12672 0 0 0 0 0 0 0 0 
sad.3.sm_70.ptx 70 : 12672 73568 0 0 0 0 0 0 0 
sad.2.sm_70.ptx 70 : 12672 76640 0 0 0 0 0 0 0 
sad.3.sm_70.ptx 69 : 12672 115232 0 0 0 0 0 0 0 
sad.2.sm_70.ptx 69 : 12672 72640 0 0 0 0 0 0 0 
sad.3.sm_70.ptx 68 : 12672 87392 0 0 0 0 0 0 0 
sad.2.sm_70.ptx 68 : 12672 116800 0 0 0 0 0 0 0 
sad.3.sm_70.ptx 65 : 12672 63360 0 0 0 0 0 0 0 
sad.2.sm_70.ptx 65 : 12672 114880 0 0 0 0 0 0 0 
sad.3.sm_70.ptx 64 : 12672 63360 0 0 0 0 0 0 0 
sad.2.sm_70.ptx 64 : 12672 114080 0 0 0 0 0 0 0 
sad.3.sm_70.ptx 63 : 12672 63360 0 0 0 0 0 0 0 
sad.2.sm_70.ptx 63 : 12672 126720 0 0 0 0 0 0 0 
sad.3.sm_70.ptx 62 : 12672 63360 0 0 0 0 0 0 0 
sad.2.sm_70.ptx 62 : 12672 114176 0 0 0 0 0 0 0 
sad.2.sm_70.ptx 61 : 12672 126848 0 0 0 0 0 0 0 
