kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
sgemm.1.sm_70.ptx 4188 : 10 660 0 0 0 0 0 0 0 
sgemm.1.sm_70.ptx 4185 : 10 660 0 0 0 0 0 0 0 
sgemm.1.sm_70.ptx 4182 : 10 30 0 0 0 0 0 0 0 
sgemm.1.sm_70.ptx 4179 : 10 30 0 0 0 10 10 0 0 
sgemm.1.sm_70.ptx 4176 : 10 30 0 0 0 10 10 0 0 
sgemm.1.sm_70.ptx 4174 : 10 50 0 0 0 0 0 0 0 
sgemm.1.sm_70.ptx 4173 : 10 90 0 0 0 0 0 0 0 
sgemm.1.sm_70.ptx 4172 : 10 60 0 0 0 0 0 0 0 
sgemm.1.sm_70.ptx 4171 : 10 50 0 0 0 0 0 0 0 
sgemm.1.sm_70.ptx 3863 : 1280 14912 0 0 0 160 40 0 0 
sgemm.1.sm_70.ptx 3861 : 1280 6400 0 0 0 0 0 0 0 
sgemm.1.sm_70.ptx 3860 : 1280 11520 0 0 0 0 0 0 0 
sgemm.1.sm_70.ptx 3859 : 1280 7680 0 0 0 0 0 0 0 
sgemm.1.sm_70.ptx 3858 : 1280 8832 0 0 0 160 40 0 0 
sgemm.1.sm_70.ptx 3857 : 1280 11520 0 0 0 0 0 0 0 
sgemm.1.sm_70.ptx 3856 : 1280 559296 5120 0 0 160 40 0 0 
sgemm.1.sm_70.ptx 3855 : 1280 11520 0 0 0 0 0 0 0 
sgemm.1.sm_70.ptx 3854 : 1280 10272 0 0 0 160 40 0 0 
sgemm.1.sm_70.ptx 3853 : 1280 11520 0 0 0 0 0 0 0 
sgemm.1.sm_70.ptx 3852 : 1280 559936 5120 0 0 160 40 0 0 
sgemm.1.sm_70.ptx 3851 : 1280 11520 0 0 0 0 0 0 0 
sgemm.1.sm_70.ptx 3850 : 1280 9696 0 0 0 160 40 0 0 
sgemm.1.sm_70.ptx 3849 : 1280 11520 0 0 0 0 0 0 0 
sgemm.1.sm_70.ptx 3848 : 1280 562432 5120 0 0 160 40 0 0 
sgemm.1.sm_70.ptx 3847 : 1280 11520 0 0 0 0 0 0 0 
sgemm.1.sm_70.ptx 3846 : 1280 11136 0 0 0 160 40 0 0 
sgemm.1.sm_70.ptx 3845 : 1280 11520 0 0 0 0 0 0 0 
sgemm.1.sm_70.ptx 3844 : 1280 562304 5120 0 0 160 40 0 0 
sgemm.1.sm_70.ptx 3843 : 1280 11520 0 0 0 0 0 0 0 
sgemm.1.sm_70.ptx 3842 : 1280 10848 0 0 0 160 40 0 0 
sgemm.1.sm_70.ptx 3841 : 1280 11520 0 0 0 0 0 0 0 
sgemm.1.sm_70.ptx 3840 : 1280 561088 5120 0 0 160 40 0 0 
sgemm.1.sm_70.ptx 3839 : 1280 11520 0 0 0 0 0 0 0 
sgemm.1.sm_70.ptx 3838 : 1280 11136 0 0 0 160 40 0 0 
sgemm.1.sm_70.ptx 3837 : 1280 11520 0 0 0 0 0 0 0 
sgemm.1.sm_70.ptx 3836 : 1280 557024 5120 0 0 160 40 0 0 
sgemm.1.sm_70.ptx 3835 : 1280 11520 0 0 0 0 0 0 0 
sgemm.1.sm_70.ptx 3834 : 1280 10080 0 0 0 160 40 0 0 
sgemm.1.sm_70.ptx 3833 : 1280 11520 0 0 0 0 0 0 0 
sgemm.1.sm_70.ptx 3832 : 1280 556480 5120 0 0 160 40 0 0 
sgemm.1.sm_70.ptx 3831 : 1280 11520 0 0 0 0 0 0 0 
sgemm.1.sm_70.ptx 3830 : 1280 10112 0 0 0 160 40 0 0 
sgemm.1.sm_70.ptx 3829 : 1280 11520 0 0 0 0 0 0 0 
sgemm.1.sm_70.ptx 3828 : 1280 554944 5120 0 0 160 40 0 0 
sgemm.1.sm_70.ptx 3827 : 1280 11520 0 0 0 0 0 0 0 
sgemm.1.sm_70.ptx 3826 : 1280 10304 0 0 0 160 40 0 0 
sgemm.1.sm_70.ptx 3825 : 1280 11520 0 0 0 0 0 0 0 
sgemm.1.sm_70.ptx 3824 : 1280 560128 5120 0 0 160 40 0 0 
sgemm.1.sm_70.ptx 3823 : 1280 11520 0 0 0 0 0 0 0 
sgemm.1.sm_70.ptx 3822 : 1280 9856 0 0 0 160 40 0 0 
sgemm.1.sm_70.ptx 3821 : 1280 11520 0 0 0 0 0 0 0 
sgemm.1.sm_70.ptx 3820 : 1280 559872 5120 0 0 160 40 0 0 
sgemm.1.sm_70.ptx 3819 : 1280 11520 0 0 0 0 0 0 0 
sgemm.1.sm_70.ptx 3818 : 1280 9824 0 0 0 160 40 0 0 
sgemm.1.sm_70.ptx 3817 : 1280 11520 0 0 0 0 0 0 0 
sgemm.1.sm_70.ptx 3816 : 1280 559136 5120 0 0 160 40 0 0 
