kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
spmv.1.sm_70.ptx 2024 : 326 23165 0 0 0 0 0 0 0 
spmv.1.sm_70.ptx 2021 : 326 23112 0 0 0 0 0 0 0 
spmv.1.sm_70.ptx 2019 : 326 1632 0 0 0 0 0 0 0 
spmv.1.sm_70.ptx 2018 : 326 1633 0 0 0 0 0 0 0 
spmv.1.sm_70.ptx 2016 : 332 2986 0 0 0 0 0 0 0 
spmv.1.sm_70.ptx 2013 : 332 2861 0 0 0 332 332 0 0 
spmv.1.sm_70.ptx 2011 : 332 1660 0 0 0 0 0 0 0 
spmv.1.sm_70.ptx 2009 : 332 2770 0 0 0 332 332 0 0 
spmv.1.sm_70.ptx 2007 : 332 1660 0 0 0 0 0 0 0 
spmv.1.sm_70.ptx 2006 : 332 2988 0 0 0 0 0 0 0 
spmv.1.sm_70.ptx 2005 : 332 1994 0 0 0 0 0 0 0 
spmv.1.sm_70.ptx 2004 : 332 1660 0 0 0 0 0 0 0 
spmv.1.sm_70.ptx 2003 : 332 2988 0 0 0 0 0 0 0 
spmv.1.sm_70.ptx 2002 : 333 3320 0 0 0 0 0 0 0 
spmv.1.sm_70.ptx 2001 : 333 1666 0 0 0 0 0 0 0 
spmv.1.sm_70.ptx 2000 : 333 3330 0 0 0 0 0 0 0 
spmv.1.sm_70.ptx 1999 : 333 1667 0 0 0 0 0 0 0 
spmv.1.sm_70.ptx 1998 : 333 1671 0 0 0 0 0 0 0 
spmv.1.sm_70.ptx 1997 : 333 1666 0 0 0 0 0 0 0 
spmv.1.sm_70.ptx 1982 : 65569 5413922 0 0 0 0 0 0 0 
spmv.1.sm_70.ptx 1979 : 65569 5413218 0 0 0 0 0 0 0 
spmv.1.sm_70.ptx 1976 : 65729 829194 0 0 0 0 0 0 0 
spmv.1.sm_70.ptx 1973 : 65729 812746 0 0 0 8217 2055 0 0 
spmv.1.sm_70.ptx 1971 : 65729 328869 0 0 0 0 0 0 0 
spmv.1.sm_70.ptx 1970 : 65729 592585 0 0 0 0 0 0 0 
spmv.1.sm_70.ptx 1969 : 65729 591593 0 0 0 0 0 0 0 
spmv.1.sm_70.ptx 1968 : 65761 17260862 0 0 0 8221 2056 0 0 
spmv.1.sm_70.ptx 1967 : 65761 1150410 0 0 0 10182 2056 0 0 
spmv.1.sm_70.ptx 1966 : 65761 591945 0 0 0 0 0 0 0 
spmv.1.sm_70.ptx 1965 : 65761 614089 0 0 0 0 0 0 0 
spmv.1.sm_70.ptx 1964 : 66145 136062943 263200 0 0 8269 2068 0 0 
spmv.1.sm_70.ptx 1963 : 66145 400518 0 0 0 0 0 0 0 
spmv.1.sm_70.ptx 1960 : 66305 49875566 5056 0 0 10956 2073 0 0 
spmv.1.sm_70.ptx 1959 : 66305 125112941 264608 0 0 8289 2073 0 0 
spmv.1.sm_70.ptx 1956 : 514721 2248384 0 0 0 0 0 0 0 
spmv.1.sm_70.ptx 1955 : 514817 3125926 0 0 0 0 0 0 0 
