kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
stencil.1.sm_70.ptx 1336 : 2093 171322 0 0 0 0 0 0 0 
stencil.1.sm_70.ptx 1333 : 2093 173241 0 0 0 0 0 0 0 
stencil.1.sm_70.ptx 1330 : 2106 45231 0 0 0 0 0 0 0 
stencil.1.sm_70.ptx 1327 : 2106 44527 0 0 0 2106 2106 0 0 
stencil.1.sm_70.ptx 1325 : 2106 11578 0 0 0 0 0 0 0 
stencil.1.sm_70.ptx 1323 : 2106 44880 0 0 0 2106 2106 0 0 
stencil.1.sm_70.ptx 1321 : 2107 10796 0 0 0 0 0 0 0 
stencil.1.sm_70.ptx 1320 : 2107 20261 0 0 0 0 0 0 0 
stencil.1.sm_70.ptx 1319 : 2107 13104 0 0 0 0 0 0 0 
stencil.1.sm_70.ptx 1318 : 2107 11219 0 0 0 0 0 0 0 
stencil.1.sm_70.ptx 1317 : 2107 20090 0 0 0 0 0 0 0 
stencil.1.sm_70.ptx 1316 : 2107 21626 0 0 0 0 0 0 0 
stencil.1.sm_70.ptx 1315 : 2108 21216 0 0 0 0 0 0 0 
stencil.1.sm_70.ptx 1314 : 2108 12069 0 0 0 0 0 0 0 
stencil.1.sm_70.ptx 1313 : 2108 11187 0 0 0 0 0 0 0 
stencil.1.sm_70.ptx 1312 : 2108 10827 0 0 0 0 0 0 0 
stencil.1.sm_70.ptx 1230 : 2366 32953 0 0 0 0 0 0 0 
stencil.1.sm_70.ptx 1227 : 2366 32922 0 0 0 2366 2366 0 0 
stencil.1.sm_70.ptx 1225 : 2366 17571 0 0 0 0 0 0 0 
stencil.1.sm_70.ptx 1223 : 2366 32372 0 0 0 2366 2366 0 0 
stencil.1.sm_70.ptx 1221 : 2366 18684 0 0 0 0 0 0 0 
stencil.1.sm_70.ptx 1220 : 2366 25893 0 0 0 0 0 0 0 
stencil.1.sm_70.ptx 1219 : 2366 18787 0 0 0 0 0 0 0 
stencil.1.sm_70.ptx 1218 : 2366 18295 0 0 0 0 0 0 0 
stencil.1.sm_70.ptx 1217 : 2366 25403 0 0 0 0 0 0 0 
stencil.1.sm_70.ptx 1216 : 2366 30239 0 0 0 0 0 0 0 
stencil.1.sm_70.ptx 1215 : 2366 28988 0 0 0 0 0 0 0 
stencil.1.sm_70.ptx 1214 : 2366 15553 0 0 0 0 0 0 0 
stencil.1.sm_70.ptx 1213 : 2366 16039 0 0 0 0 0 0 0 
stencil.1.sm_70.ptx 1247 : 1204861 13272878 0 0 0 0 0 0 0 
stencil.1.sm_70.ptx 1200 : 1209314 8448161 0 0 0 0 0 0 0 
stencil.1.sm_70.ptx 1297 : 1153977 88863317 0 0 0 0 0 0 0 
stencil.1.sm_70.ptx 1246 : 1204861 9863746 0 0 0 0 0 0 0 
stencil.1.sm_70.ptx 1199 : 1209537 7499497 0 0 0 0 0 0 0 
stencil.1.sm_70.ptx 1245 : 1204861 9838356 0 0 0 0 0 0 0 
stencil.1.sm_70.ptx 1198 : 1209537 7549901 0 0 0 0 0 0 0 
stencil.1.sm_70.ptx 1295 : 1153977 25771319 0 0 0 0 0 0 0 
stencil.1.sm_70.ptx 1197 : 1209537 26733889 0 0 0 0 0 0 0 
stencil.1.sm_70.ptx 1243 : 1207170 14042 0 0 0 0 0 0 2309 
stencil.1.sm_70.ptx 1340 : 1075268 5627100 0 0 0 0 0 0 0 
stencil.1.sm_70.ptx 1196 : 1209537 19667452 0 0 0 0 0 0 0 
stencil.1.sm_70.ptx 1242 : 1207202 8881272 0 0 0 0 0 0 0 
stencil.1.sm_70.ptx 1195 : 1209537 19894447 0 0 0 0 0 0 0 
stencil.1.sm_70.ptx 1194 : 1209537 20200999 0 0 0 0 0 0 0 
stencil.1.sm_70.ptx 1291 : 1151817 94442386 0 0 0 144532 36133 0 0 
stencil.1.sm_70.ptx 1193 : 1209537 20463201 0 0 0 0 0 0 0 
stencil.1.sm_70.ptx 1192 : 1209537 19757019 0 0 0 0 0 0 0 
stencil.1.sm_70.ptx 1289 : 1151849 8327686 0 0 0 0 0 0 0 
